country,country_name,title,release_date,vote_average,vote_count
US,United States,STRAW,2025-06-05,8.051,557
US,United States,Predator: Killer of Killers,2025-06-05,7.99,550
US,United States,How to Train Your Dragon,2025-06-06,8.03,333
US,United States,Henry Danger: The Movie,2025-01-17,7.818,211
US,United States,Dog Man,2025-01-24,7.773,259
US,United States,The Gorge,2025-02-13,7.711,2706
US,United States,The Life of Chuck,2025-06-05,7.737,59
US,United States,The Unbreakable Boy,2025-02-20,7.63,73
US,United States,Sinners,2025-04-16,7.549,1563
US,United States,Wick Is Pain,2025-05-08,7.4,53
JP,Japan,Demon City,2025-02-26,7.027,244
JP,Japan,Bullet Train Explosion,2025-04-23,6.925,214
IN,India,Jewel Thief - The Heist Begins,2025-04-24,6.81,63
IN,India,Deva,2025-01-31,5.922,51
IN,India,Sikandar,2025-03-29,4.923,52
GB,United Kingdom,My Fault: London,2025-02-12,7.434,407
GB,United Kingdom,28 Years Later,2025-06-18,7.366,108
GB,United Kingdom,Mickey 17,2025-02-28,6.895,2234
GB,United Kingdom,A Working Man,2025-03-26,6.688,1268
GB,United Kingdom,Bridget Jones: Mad About the Boy,2025-02-12,6.549,339
GB,United Kingdom,Cleaner,2025-02-19,6.53,286
GB,United Kingdom,Havoc,2025-04-25,6.46,841
GB,United Kingdom,The Twister: Caught in the Storm,2025-03-18,6.4,70
GB,United Kingdom,Fountain of Youth,2025-05-19,6.402,498
GB,United Kingdom,Picture This,2025-03-05,6.131,134
CN,China,Ne Zha 2,2025-01-29,8.042,179
CN,China,Detective Chinatown 1900,2025-01-29,6.397,68
CN,China,Creation of the Gods II: Demon Force,2025-01-29,6.314,51
KR,South Korea,Squid Game: Making Season 2,2025-01-02,8.511,408
KR,South Korea,The King of Kings,2025-04-07,8.433,60
KR,South Korea,Lost in Starlight,2025-05-30,7.223,56
KR,South Korea,The Witcher: Sirens of the Deep,2025-02-10,6.939,197
KR,South Korea,Revelations,2025-03-20,6.4,139
