title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
사악한 그녀의 섹스 시크릿,2016-02-01,movie,94,"미스터리, 스릴러",,,,,MRG Entertainment,,"deja vu, confusion, friends, softcore, handyman",,,tt5481138
패왕화 스페셜 포스,2016-10-13,movie,105,코미디,,,,,Sun Entertainment Culture,,,,,tt6449354
아빠 또는 엄마 2,2016-12-07,movie,90,코미디,,,,,Chapter 2,,,,,tt5833730
어떤 여자들,2016-09-25,movie,107,드라마,,,,,filmscience,,"montana, loneliness, rural area, love affair, flirting, woman lawyer, woman director, dysfunctional relationship",,,tt4468634
대역전,2016-07-15,movie,100,"액션, 범죄, 미스터리, 스릴러",,,,,China Film Group Corporation,,"china, football (soccer), international crime",,,tt6033150
잔예 - 살아서는 안되는 방,2016-01-30,movie,100,공포,,,,,Shochiku,,"novelist, occult, curious, strange",,,tt4842814
반전 추적 스릴러: 터널,2016-04-21,movie,120,"범죄, 스릴러",,,,,Haddock Films,,"computer, rain, wheelchair, stripper, bank robbery, tunnel",,,tt5133308
다크 크라임,2016-10-12,movie,93,"드라마, 스릴러",,,,,RatPac Entertainment,,"sexual abuse, businessman, kraków, poland, writer, clue, murder investigation, controversial artist, similar crime, apathetic, frustrated",,,tt1901024
입영전야,2016-04-05,movie,90,로맨스,,,,,,,,,,
청춘연애,2016-07-08,movie,100,"코미디, 드라마, 로맨스",,,,,,,"high school, china, rich man poor woman, youth, life, unhealthy relationship, youtalkies, watch on youtalkies",,,tt5011290
美人妻覚醒 破られた貞操,2016-10-07,movie,70,드라마,,,,,Sekine Production,,"softcore, pink film",,,tt6385876
트레이터,2016-05-05,movie,108,스릴러,,,,,StudioCanal,,"based on novel or book, woman director, antigua",,,tt1995390
ढिशुम,2016-07-29,movie,120,"코미디, 액션",,,,,Nadiadwala Grandson Entertainment,,,,,tt3679060
쇼콜라,2016-02-03,movie,119,"코미디, 드라마",,,,,Gaumont,,,,,tt4400038
When Black Birds Fly,2016-01-15,movie,105,"SF, 애니메이션, 공포",,,,,Draconian Films,,"underground, dystopia, surrealism, computer animation, psychedelic",,,tt4007068
라이프 온 더 라인,2016-11-18,movie,97,"드라마, 액션, 스릴러",,,,,Lionsgate Premiere,,"post-traumatic stress disorder (ptsd), waitress, texas, heroism, training, based on true story, electric installation, train crash, motorcycle, power outage, new neighbor, death of mother, family tragedy, ex-boyfriend ex-girlfriend relationship, uncle niece relationship, foreman, power company, lineman, electric power station, electrical storm, death of a loved one, memories, utility pole, risky situations, teamwork, electricity, death of parents, parental guardian, life at risk, animosity, power lines, electrical grid",,,tt3727202
제7의 환자,2016-10-11,movie,116,"스릴러, 공포",,,,,Terror Films,,"witch, police, vampire, hallucination, anthology, mental institution, serial killer, snow, zombie, doctor, demon, psychiatrist, mental patient, witchcraft, psychotic, surveillance camera, ghost, halloween costume, zombie apocalypse",,,tt5345298
Réparer les vivants,2016-11-01,movie,104,드라마,,,,,,,"heart, hospital, organ transplant, woman director, accident",,,tt5096536
판더믹,2016-02-26,movie,92,"액션, SF, 공포",,,,,New Artists Alliance,,"bus, post-apocalyptic future, gore, apocalypse, los angeles, california, subjective camera, found footage, virus, pandemic",,,tt3774802
킹 코브라,2016-10-21,movie,93,"범죄, 드라마",,,,,Digital Ignition Entertainment,,"pornography, based on novel or book, biography, based on true story, behind the scenes, murder, porn industry, ego, lgbt, vanity, rent boy, business rivalry, gay theme",,,tt5129682
이스케이프 런,2016-11-11,movie,91,"드라마, 스릴러",,,,,EuropaCorp,,"nightmare, isolation, winter, country house, deaf, bath, murder, stepson, psychologist, doctor, storm, drugs, missing child, winter storm",,,tt2582500
나만이 없는 거리,2016-08-17,movie,120,"스릴러, 판타지",,,,,Office Crescendo,,"time travel, based on manga",,,tt4882964
Orbayu,2016-02-05,movie,27,"다큐멘터리, 모험",,,,,L'Illustroscope,,"spain, rock climbing, picos de europa, escalade, freeclimbing, rockclimbing",,,
Бабочки,2016-10-26,movie,79,"다큐멘터리, 드라마",,,,,17+4,,,,,tt6356338
후처업의 여자,2016-08-27,movie,127,코미디,,,,,,,,,,tt4920094
더 라스트 맨 온 더 문,2016-02-26,movie,95,"다큐멘터리, 역사",,,,,Mark Stewart Productions Ltd,,"moon, nasa, biography, space, astronaut",,,tt3219604
얼론 인 베를린,2016-02-15,movie,103,"전쟁, 스릴러, 드라마",,,,,X Filme Creative Pool,,"berlin, germany, based on novel or book, world war ii, 1940s",,,tt3026488
그래도 둘이 좋다면,2016-02-05,movie,103,"드라마, 로맨스",,,,,LordTanner Studios,,,,,tt9741588
뮤지엄,2016-11-12,movie,132,"드라마, 스릴러",,,,,WOWOW FILMS,,"japan, husband wife relationship, family secrets, serial killer, tokyo, japan, based on manga, co-workers relationship",,,tt5227140
더 퍼펙트 매치,2016-03-11,movie,96,"로맨스, 코미디",,,,,Lionsgate,,"bet, match, therapist, photographer, bachelor, playboy, fear of commitment, best friend, high school friends, group of friends, social media, serial dating, brother sister relationship, social media influencer, relationships, smooth, charming, player, friend's wedding, big sister little brother",,,tt4871980
더 킹스 초이스,2016-09-29,movie,133,"전쟁, 액션, 드라마",,,,,Newgrange Pictures,,"nazi, evacuation, invasion, royal family, wehrmacht, german occupation, king, democracy, air raid, nazi invasion",,,tt4353996
삼인행: 생존게임,2016-06-24,movie,88,"액션, 범죄, 스릴러",,,,,China Film Co-Production Corp.,,,,,tt4379728
Whitney Cummings: I'm Your Girlfriend,2016-01-23,movie,70,코미디,,,,,HBO,,stand-up comedy,,,tt5369246
동주,2016-02-17,movie,110,"드라마, 역사",,,,,M-Line Distribution,,"male friendship, independence movement, poet, biography, based on true story, black and white, torture, 1940s, college freshman, korean resistance, japanese occupation of korea, study abroad",,,tt5799928
인생은 드라마,2016-11-23,movie,151,"드라마, 로맨스",,,,,Red Chillies Entertainment,,"depression, cinematographer, coming of age, psychologist",,,tt5946128
Psychophonia,2016-10-07,movie,75,"공포, SF, 스릴러, 드라마, 범죄, 미스터리",,,,,,,woman director,,,tt3098998
아마추어 나이트,2016-08-12,movie,89,코미디,,,,,Defining,,"baby, pimp, architect, father, los angeles, california, doctor, prostitution, dildo, sex toy, driver, woman director, volvo",,,tt4265508
세상의 모든 엄마와 딸들,2016-05-06,movie,92,드라마,,,,,Screen Media Films,,"daughter, mother, photographer, holiday, anthology, mother's day",,,tt2395339
서머 오브 8,2016-04-26,movie,88,"드라마, 코미디",,,,,TrustFall Films,,"beach, college, friends, summer",,,tt4172146
اللي اختشوا ماتوا,2016-04-20,movie,110,드라마,,,,,,,,,,tt5686120
데이비드 보위 - 혁명의 록,2016-05-09,movie,98,"다큐멘터리, 음악",,,,,A2B Media,,woman director,,,tt5598234
치하야후루 상편,2016-03-19,movie,111,"로맨스, 코미디, 드라마",,,,,TOHO,,"high school, sports, competition, based on manga, high school student, childhood friends, school club, karuta, japanese high school, bukatsu",,,tt4785440
