title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
토르: 라그나로크,2017-10-02,movie,130,"액션, 모험, SF",,,,,Marvel Studios,,"superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god",,,tt3501632
가디언즈 오브 갤럭시 Vol. 2,2017-04-19,movie,136,"SF, 모험, 액션",,,,,Marvel Studios,,"superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), egotistical",,,tt3896198
스타워즈 에피소드 8: 라스트 제다이,2017-12-13,movie,152,"모험, 액션, SF",,,,,Lucasfilm Ltd.,,"bunker, space battle, defeat, failure, sequel, space opera, military operation, disapproving",,,tt2527336
킹스맨: 골든 서클,2017-09-20,movie,141,"액션, 모험, 코미디, 범죄",,,,,20th Century Fox,,"saving the world, spy, europe, sequel, secret government organization, agent, statesman, amused, excited",,,tt4649466
존 윅: 리로드,2017-02-08,movie,122,"액션, 스릴러, 범죄",,,,,Thunder Road,,"martial arts, assassin, hitman, italy, roof, secret organization, sequel, revenge, shootout, handshake, neo-noir, guns, dark, dogs, cliché, roof-top",,,tt4425200
라이프,2017-03-22,movie,103,"공포, SF, 미스터리, 스릴러",,,,,Columbia Pictures,,"planet mars, alien life-form, space, astronaut, space station, intelligent, trapped in space, extraterrestrial life, alien on board, death of astronaut, cliché",,,tt5442430
스파이더맨: 홈커밍,2017-07-05,movie,133,"액션, 모험, SF, 드라마",,,,,Marvel Studios,,"high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), enthusiastic",,,tt2250912
코코,2017-10-27,movie,105,"가족, 애니메이션, 음악, 모험",,,,,Pixar,,"skeleton, mexico, guitar, afterlife, musician, holiday, villain, singer, murderer, life after death, kids, day of the dead, music, boy",,,tt2380307
베이워치: SOS 해상 구조대,2017-05-25,movie,117,"코미디, 액션, 범죄",,,,,Uncharted,,"drug dealer, sea, beach, yacht, life-saver, lifeguard, rookie, vigilantism",,,tt1469304
미녀와 야수,2017-03-16,movie,129,"가족, 판타지, 로맨스",,,,,Walt Disney Pictures,,"france, magic, fairy tale, transformation, cartoon, castle, musical, remake, curse, creature, 18th century, beast, live action and animation, live action remake",,,tt2771200
블레이드 러너 2049,2017-10-04,movie,164,"SF, 드라마",,,,,Alcon Entertainment,,"future, android, bounty hunter, artificial intelligence (a.i.), genetics, dystopia, sequel, cyberpunk, los angeles, california, las vegas, tech noir, meditative, human clone, blade runner, complex, 2040s, cautionary, audacious, compassionate",,,tt1856101
지오스톰,2017-10-12,movie,109,"액션, SF, 스릴러",,,,,Twisted Media,,"future, artificial intelligence (a.i.), weather manipulation, end of the world, murder, space, conspiracy, disaster, apocalypse, storm, space station, space shuttle, catastrophe, disaster movie, global threat, environmental disaster, overpopulated world",,,tt1981128
그것,2017-09-06,movie,135,"공포, 스릴러",,,,,New Line Cinema,,"small town, based on novel or book, clown, bullying, abandoned house, coming of age, flashback, murder, balloon, maine, school, creature, fear, summer, killer, missing person, death of brother, well, kids, demonic, town history, frightened",,,tt1396484
빌로우 허,2017-02-10,movie,92,"드라마, 로맨스",,,,,Serendipity Point Films,,"sexual identity, infidelity, female friendship, love, lesbian relationship, female protagonist, love affair, lust, lesbian sex, sexual desire, lgbt, woman director, erotic movie, gender identity, lesbian",,,tt5073620
해피 데스데이,2017-10-12,movie,96,"코미디, 공포, 미스터리",,,,,Vesuvius Productions,,"college, murder, time loop, slasher, young adult, college student, stabbed to death, appreciative, vibrant",,,tt5308322
레고 배트맨 무비,2017-02-08,movie,104,"애니메이션, 액션, 코미디, 가족",,,,,Lin Pictures,,"superhero, based on comic, based on toy, spin off, super power, lego, sarcastic, sardonic, wry",,,tt4116284
쓰리 빌보드,2017-12-01,movie,115,"범죄, 드라마",,,,,Blueprint Pictures,,"small town, suicide, police brutality, rape, missouri, dark comedy, alcoholism, murder, arson, cancer, teenage girl, police corruption, racism, anger, billboard, guilty conscience, molotov cocktail, pool hall",,,tt5027774
원더,2017-11-13,movie,113,"가족, 드라마",,,,,Lionsgate,,"exclusion, bullying, coney island, prejudice, school, based on children's book, family, physical disability, treacher collins syndrome, relaxed, melodramatic",,,tt2543472
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-23,movie,129,"모험, 액션, 판타지",,,,,Walt Disney Pictures,,"sea, ship, treasure map, sequel, artifact, pirate, period drama, monkey, swashbuckler, ghost, caribbean sea, aftercreditsstinger, trident",,,tt1790809
쥬만지: 새로운 세계,2017-12-09,movie,119,"모험, 코미디, 판타지, 액션, 가족",,,,,Matt Tolmach Productions,,"video game, fighter, sequel, detention, explorer, based on movie, gaming, quest, cartographer, action hero, zoologist, based on young adult novel, trapped in a game, jumanji universe",,,tt2283362
겟 아웃,2017-02-24,movie,104,"미스터리, 스릴러, 공포",,,,,Monkeypaw Productions,,"kidnapping, externally controlled action, manipulation, dark comedy, hypnosis, parents-in-law, satire, racist, revenge, interracial relationship, disappearance, racism, psychological thriller, biting, blunt, neurosurgeon, missing person, stereotype, brain surgery, satirical, race-conscious, dreary",,,tt5052448
카 3: 새로운 도전,2017-06-15,movie,109,"가족, 코미디, 모험, 애니메이션",,,,,Pixar,,"sports, trainer, villain, sequel, anthropomorphism, travel, racing, high tech, aftercreditsstinger",,,tt3606752
로건,2017-02-28,movie,137,"액션, 드라마, SF",,,,,Hutch Parker Entertainment,,"future, experiment, immortality, self-destruction, cyborg, dystopia, superhero, mutant, road trip, based on comic, sequel, super power, neo-western, troubled past, aging superhero, life on the margin, dramatic, antagonistic, dignified",,,tt3315342
콜 미 바이 유어 네임,2017-07-28,movie,132,"로맨스, 드라마",,,,,La Cinéfacture,,"based on novel or book, upper class, italy, swimming pool, coming of age, love, breaking the fourth wall, summer, teenage boy, masturbation, first love, lgbt, jewish family, 1980s, peach, gay theme",,,tt5726616
저스티스 리그,2017-11-15,movie,120,"액션, 모험, SF",,,,,RatPac Entertainment,,"superhero, based on comic, super power, superhero team, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu)",,,tt0974015
트랜스포머: 최후의 기사,2017-06-16,movie,151,"액션, 모험, SF",,,,,Paramount Pictures,,"england, chosen one, based on toy, knight, planet, robot, duringcreditsstinger, planet earth, arthurian mythology, secret history",,,tt3371366
원더 우먼,2017-05-30,movie,141,"액션, 모험, 판타지",,,,,Atlas Entertainment,,"island, hero, strong woman, world war i, empowerment, superhero, feminism, greek mythology, based on comic, female protagonist, period drama, super power, heroine, woman director, female empowerment, 1910s, dc extended universe (dceu)",,,tt0451279
에이리언: 커버넌트,2017-05-09,movie,122,"공포, SF, 스릴러",,,,,20th Century Fox,,"android, spacecraft, experiment, space travel, infection, engineer, alien life-form, sequel, alien, space, creature, robot, scientist, genocide, creation, acid, alien technology, genetic mutation",,,tt2316204
혹성탈출: 종의 전쟁,2017-07-11,movie,140,"드라마, SF, 전쟁",,,,,20th Century Fox,,"suicide, civil war, escape, winter, mutation, peace, solidarity, gorilla, intelligence, dystopia, horse, post-apocalyptic future, slavery, pacifism, imprisonment, colony, sequel, anthropomorphism, revenge, betrayal, mute, snow, torture, disease, ape, orangutan, death of family, death, evolution, chimpanzee, avalanche, albino, primate, sign languages, virus, underground tunnel, assassination attempt, enslavement, murder by gunshot, human becoming an animal, contagion, father son relationship, 2040s, guns, soldiers, avenging father, animal human friendship, war, cgi-live action hybrid, serious, violence against animals, explosions, war horse, survival of the fittest, cruel",,,tt3450958
50가지 그림자: 심연,2017-02-08,movie,118,"드라마, 로맨스",,,,,Universal Pictures,,"based on novel or book, boat, eroticism, kiss, sequel, bdsm, dreary",,,tt4465564
미이라,2017-06-06,movie,110,"판타지, 스릴러, 액션, 모험, 공포",,,,,Secret Hideout,,"egypt, monster, supernatural, mummy, remake, tomb, egyptian mythology, dark universe",,,tt2345759
콩: 스컬 아일랜드,2017-03-08,movie,118,"액션, 모험, 판타지",,,,,Legendary Pictures,,"vietnam veteran, island, monster, 1970s, expedition, giant monster, giant spider, creature, spin off, u.s. soldier, giant animal, kaiju, aftercreditsstinger, giant ape, monster island, water buffalo, uncharted, king kong",,,tt3731562
