title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
그레이의 50가지 그림자,2015-02-11,movie,125,"드라마, 로맨스, 스릴러",,,,,Universal Pictures,,"bad smell, based on novel or book, eroticism, perversion, spanking, billionaire, rich, bdsm, woman director, baffled",,,tt2322441
나를 미치게 하는 여자,2015-07-17,movie,125,"코미디, 로맨스",,,,,Apatow Productions,,"alcohol, surgeon, interview, romcom, one-night stand, fear of commitment, doctor, falling in love, drinking, nursing home, multiple sclerosis, serial dating, party girl, sleeping around, sick father, sister sister relationship, free spirited, pattern, magazine writer, amused",,,tt3152624
쥬라기 월드,2015-06-06,movie,125,"액션, 모험, SF, 스릴러",,,,,Amblin Entertainment,,"island, primal fear, escape, velociraptor, dna, tyrannosaurus rex, animal attack, sequel, dinosaur, creature, park, amusement park, theme park, genetic engineering, raptor, animal horror, mosasaurus",,,tt0369610
인사이드 아웃,2015-06-17,movie,102,"애니메이션, 가족, 모험, 드라마, 코미디",,,,,Pixar,,"dreams, san francisco, california, minnesota, sadness, cartoon, disgust, ice hockey, imaginary friend, elementary school, family relationships, memory, fear, family, anger, unicorn, running away, duringcreditsstinger, emotions, joy, instructive",,,tt2096673
신데렐라,2015-03-06,movie,113,"로맨스, 판타지, 가족, 드라마",,,,,Walt Disney Pictures,,"magic, kingdom, fairy tale, prince, royalty, orphan, lost shoe, evil stepmother, based on fairy tale, retelling, live action and animation, live action remake",,,tt1661199
미션 임파서블: 로그네이션,2015-07-28,movie,131,"액션, 모험",,,,,Paramount Pictures,,"mission, london, england, spy, morocco, villain, austria, europe, sequel, conspiracy, vienna, austria, vienna opera, based on tv series, amused",,,tt2381249
어벤져스: 에이지 오브 울트론,2015-04-22,movie,141,"액션, 모험, SF",,,,,Marvel Studios,,"artificial intelligence (a.i.), saving the world, superhero, based on comic, sequel, vision, superhero team, creator, super villain, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, complex, evil robot, good versus evil",,,tt2395427
007 스펙터,2015-10-26,movie,148,"액션, 모험, 스릴러",,,,,Metro-Goldwyn-Mayer,,"based on novel or book, spy, secret agent, sequel, mi6, british secret service, united kingdom",,,tt2379713
매드 맥스: 분노의 도로,2015-05-13,movie,120,"액션, 모험, SF",,,,,Warner Bros. Pictures,,"rescue, future, australia, chase, dystopia, post-apocalyptic future, survival, on the run, on the road, desert, convoy, peak oil, dark future, car, suspenseful, awestruck, commanding",,,tt1392190
분노의 질주: 더 세븐,2015-04-01,movie,138,"액션, 모험, 범죄, 드라마, 스릴러",,,,,Original Film,,"car race, speed, street race, revenge, race, muscle car, admiring",,,tt2820852
스타워즈 에피소드 7: 깨어난 포스,2015-12-15,movie,135,"모험, 액션, SF",,,,,Lucasfilm Ltd.,,"android, spacecraft, space opera, requel",,,tt2488496
19곰 테드 2,2015-06-25,movie,115,"코미디, 판타지",,,,,Smart Entertainment,,"sperm bank, sequel, buddy, courthouse, teddy bear, aftercreditsstinger, toy comes to life, provocative",,,tt2637276
써클,2015-05-28,movie,86,"SF, 미스터리, 드라마, 스릴러, 공포",,,,,Votiv Films,,"survival, murder, morality, voting, alien abduction, execution, struggle for survival, survival horror, stranger, death match, no memory, circle, science fiction, death game, horror, mystery, thriller",,,tt3118452
브루클린,2015-10-20,movie,111,"로맨스, 드라마, 역사",,,,,Wildgaze Films,,"ship, based on novel or book, love triangle, homesickness, marriage, community, working class, boarding house, suburb, ireland, brooklyn, new york city, journey, irish immigrant, 1950s",,,tt2381111
마션,2015-09-30,movie,141,"드라마, 모험, SF",,,,,Genre Films,,"spacecraft, planet mars, based on novel or book, nasa, isolation, botanist, alone, survival, space, engineering, stranded, astronaut, struggle for survival, duringcreditsstinger, deep space, potatoes, 2030s, suspenseful, mars",,,tt3659388
하늘을 걷는 남자,2015-09-30,movie,123,"역사, 드라마, 모험",,,,,TriStar Pictures,,"new york city, skyscraper, 1970s, biography, based on true story, tightrope, planning, world trade center, trespass",,,tt3488710
엄마친구,2015-08-20,movie,82,드라마,,,,,Four Seasons of Younghwasa,,softcore,,,
킹스맨: 시크릿 에이전트,2015-01-24,movie,129,"범죄, 코미디, 액션, 모험",,,,,20th Century Fox,,"great britain, spy, secret organization, secret agent, based on comic, united kingdom, duringcreditsstinger, amused, excited",,,tt2802144
픽셀,2015-07-16,movie,106,"액션, 코미디, SF, 판타지",,,,,Columbia Pictures,,"new york city, london, england, usa president, washington dc, usa, video game, nerd, alien, gamer, single mother, alien invasion, divorcee, centipede, childhood friends, military, gaming, divorced man, alien attack, 1980s, cable guy, live action and animation, donkey kong, darpa, taj mahal, india, guam, arcade game, world war, alternative world, old school, based on short, pattern, best friends, pixelation, video arcade, space invaders, galaga, pac-man",,,tt2120120
좀비 서바이벌 가이드,2015-10-23,movie,93,"코미디, 공포",,,,,Broken Road Productions,,"shotgun, camping, campsite, gore, strip club, zombie, dripping blood, flesh eating, boy scouts, zombie apocalypse",,,tt1727776
메이즈 러너: 스코치 트라이얼,2015-09-09,movie,132,"SF, 액션, 스릴러, 모험",,,,,Temple Hill Entertainment,,"based on novel or book, escape, resistance, dystopia, maze, post-apocalyptic future, infection, on the run, zombie, storm, disease, desert, sewer, antidote, corporation, virus, runner, city ruin, immunity, based on young adult novel",,,tt4046784
레버넌트: 죽음에서 돌아온 자,2015-12-25,movie,156,"서부, 드라마, 모험",,,,,Monarchy Enterprises S.a.r.l.,,"rape, based on novel or book, parent child relationship, winter, child murder, mountain, grizzly bear, animal attack, wilderness, gore, native american, forest, based on true story, liar, fur trapping, frontier, remake, revenge, survival, murder, bear, snow, scalping, animals, nature, wild west, bear attack, indian attack, dead horse, starvation, 19th century, wolves, ice",,,tt1663202
채피,2015-03-04,movie,120,"범죄, 액션, SF",,,,,Columbia Pictures,,"future, android, artificial intelligence (a.i.), dystopia, johannesburg, south africa, robot, robot cop",,,tt1823672
스트레이트 아웃 오브 컴턴,2015-08-11,movie,147,"드라마, 음악, 역사",,,,,Broken Chair Flickz,,"drug dealer, police brutality, husband wife relationship, rap music, hip-hop, sibling relationship, aids, parent child relationship, gangster, rapper, ghetto, nightclub, assault, freedom of speech, protest, vandalism, recording contract, rags to riches, based on true story, terminal illness, road trip, feud, marijuana, gang, police chase, hospital, racism, los angeles, california, detroit, michigan, racial slur, wrongful arrest, death of brother, milwaukee wisconsin, police raid, police harassment, duringcreditsstinger, record company, music tour, 1980s, intimidation by police, los angeles riots, compton, california",,,tt1398426
노크 노크,2015-06-26,movie,99,"범죄, 공포, 스릴러",,,,,Sobras International Pictures,,"adultery, infidelity, sadism, cake, disc jockey, eroticism, rain, architect, seduction, torture, art, home invasion, extramarital affair, threesome, seductress, erotic thriller, married man",,,tt3605418
시카리오:  암살자의 도시,2015-09-17,movie,121,"액션, 범죄, 스릴러",,,,,Lionsgate,,"mission, assassin, central intelligence agency (cia), mexico, corruption, bomb, fbi, smoking, texas, border, manipulation, cynicism, revenge, murder, dirty cop, football (soccer), brutality, drugs, special forces, interrogation, desert, surveillance, night vision, death of daughter, moral dilemma, neo-noir, death of wife, mexican cartel, secret tunnel, violence, audacious, juárez, mexico",,,tt3397884
써클,2015-05-28,movie,86,"SF, 미스터리, 드라마, 스릴러, 공포",,,,,Votiv Films,,"survival, murder, morality, voting, alien abduction, execution, struggle for survival, survival horror, stranger, death match, no memory, circle, science fiction, death game, horror, mystery, thriller",,,tt3118452
