country,country_name,title,release_date,vote_average,vote_count
US,United States,Kill Shot,2023-08-15,9.093,162
US,United States,¿Quieres ser mi hijo?,2023-09-21,8.559,287
US,United States,Thriller 40,2023-12-02,8.5,77
US,United States,Spider-Man: Across the Spider-Verse,2023-05-31,8.346,7641
US,United States,Simón,2023-04-15,8.3,155
US,United States,Once Upon a Studio,2023-09-24,8.28,393
US,United States,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,8.2,449
US,United States,Oppenheimer,2023-07-19,8.059,10341
US,United States,20 Days in Mariupol,2023-07-14,8.009,221
US,United States,Sound of Freedom,2023-07-03,7.989,2560
JP,Japan,Black Clover: Sword of the Wizard King,2023-06-16,8.181,309
JP,Japan,Monster,2023-06-02,8.0,706
JP,Japan,The Imaginary,2023-12-15,7.9,66
JP,Japan,Blue Giant,2023-02-17,7.811,66
JP,Japan,Perfect Days,2023-11-10,7.8,1503
JP,Japan,Godzilla Minus One,2023-11-03,7.588,2690
JP,Japan,Kingdom III: The Flame of Destiny,2023-07-28,7.5,127
JP,Japan,Rascal Does Not Dream of a Knapsack Kid,2023-12-01,7.5,50
JP,Japan,The Boy and the Heron,2023-07-14,7.433,2215
JP,Japan,Resident Evil: Death Island,2023-06-22,7.331,1027
IN,India,12th Fail,2023-08-11,7.961,166
IN,India,OMG 2,2023-08-11,7.283,53
IN,India,Jaane Jaan,2023-09-21,7.126,95
IN,India,Jawan,2023-09-07,7.111,280
IN,India,Chor Nikal Ke Bhaga,2023-03-24,6.9,127
IN,India,Leo,2023-10-18,6.865,100
IN,India,Salaar: Part 1 - Ceasefire,2023-12-21,6.7,89
IN,India,RDX: Robert Dony Xavier,2023-08-25,6.7,57
IN,India,Jailer,2023-08-10,6.68,89
IN,India,Kho Gaye Hum Kahan,2023-12-26,6.621,58
GB,United Kingdom,One Life,2023-12-21,7.792,814
GB,United Kingdom,Lionel Messi: Destiny,2023-05-27,7.7,60
GB,United Kingdom,Ice Merchants,2023-02-16,7.7,51
GB,United Kingdom,Tetris,2023-03-15,7.673,1470
GB,United Kingdom,Making Squid Game: The Challenge,2023-12-06,7.638,120
GB,United Kingdom,The Deepest Breath,2023-01-21,7.6,159
GB,United Kingdom,WHAM!,2023-06-27,7.4,73
GB,United Kingdom,The Last Kingdom: Seven Kings Must Die,2023-04-14,7.2,722
GB,United Kingdom,The Old Oak,2023-09-29,7.228,345
GB,United Kingdom,Ricky Gervais: Armageddon,2023-12-01,7.212,170
CN,China,Hachiko,2023-03-31,7.879,253
CN,China,Chang'an,2023-07-02,7.6,54
CN,China,Journey to the West,2023-04-01,7.5,63
CN,China,Johnny Keep Walking!,2023-12-29,7.5,78
CN,China,Ride On,2023-04-07,7.312,367
CN,China,The Wandering Earth II,2023-01-22,7.3,627
CN,China,Creation of the Gods I: Kingdom of Storms,2023-07-15,7.089,420
CN,China,No More Bets,2023-08-05,6.96,62
CN,China,Hidden Strike,2023-07-06,6.938,1010
CN,China,Deep Sea,2023-01-22,6.905,121
KR,South Korea,BTS: Yet to Come in Cinemas,2023-02-01,8.3,104
KR,South Korea,Soulmate,2023-03-15,7.8,70
KR,South Korea,12.12: The Day,2023-11-22,7.491,115
KR,South Korea,Unlocked,2023-02-17,7.4,349
KR,South Korea,The Roundup: No Way Out,2023-05-31,7.2,478
KR,South Korea,The Childe,2023-06-21,7.131,168
KR,South Korea,Ballerina,2023-10-05,7.021,573
KR,South Korea,Concrete Utopia,2023-08-09,6.965,254
KR,South Korea,Dream,2023-04-26,6.939,114
KR,South Korea,Kill Boksoon,2023-02-17,6.823,462
